mets	metNames	compartment	metFormulas
MAM01264g	acngalacglcgalgluside heparan sulfate	Golgi apparatus	C56H95N3O31R
MAM01265m	acrylyl-CoA	Mitochondria	C24H34N7O17P3S
MAM01266c	activated methyl group	Cytosol	CH3
MAM01267c	activated sulphur	Cytosol	S
MAM01269c	acyl-CoA-bile-PC pool	Cytosol	C22H31N7O17P3SR
MAM01270c	acyl-CoA-CL pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01271c	acyl-CoA-LD-PC pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01272c	acyl-CoA-LD-PE pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01273c	acyl-CoA-LD-PI pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01274c	acyl-CoA-LD-PS pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01275c	acyl-CoA-LD-SM pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01276c	acyl-CoA-LD-TG2 pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01277c	acyl-CoA-LD-TG3 pool (liver tissue)	Cytosol	C22H31N7O17P3SR
MAM01278c	acylglycerone-phosphate	Cytosol	C3H4O6PRCO
MAM01278x	acylglycerone-phosphate	Peroxisome	C3H4O6PRCO
MAM01279c	adenine	Cytosol	C5H5N5
MAM01279l	adenine	Lysosome	C5H5N5
MAM01279e	adenine	Extracellular	C5H5N5
MAM01280c	adenosine	Cytosol	C10H13N5O4
MAM01280l	adenosine	Lysosome	C10H13N5O4
MAM01280m	adenosine	Mitochondria	C10H13N5O4
MAM01280e	adenosine	Extracellular	C10H13N5O4
MAM01281c	adenylated molybdopterin	Cytosol	C20H24N10O12P2S2
MAM01282c	adenylosuccinate	Cytosol	C14H14N5O11P
MAM01283c	adenylyl sulfate	Cytosol	C10H12N5O10PS
MAM01284c	adenylylselenate	Cytosol	C10H12N5O10PSe
MAM01285c	ADP	Cytosol	C10H12N5O10P2
MAM01285g	ADP	Golgi apparatus	C10H12N5O10P2
MAM01285l	ADP	Lysosome	C10H12N5O10P2
MAM01285m	ADP	Mitochondria	C10H12N5O10P2
MAM01285n	ADP	Nucleus	C10H12N5O10P2
MAM01285x	ADP	Peroxisome	C10H12N5O10P2
MAM01285r	ADP	Endoplasmic reticulum	C10H12N5O10P2
MAM01285e	ADP	Extracellular	C10H12N5O10P2
MAM01286c	ADP-glucose	Cytosol	C16H23N5O15P2
MAM01286e	ADP-glucose	Extracellular	C16H23N5O15P2
MAM01287c	ADP-mannose	Cytosol	C16H23N5O15P2
MAM01287e	ADP-mannose	Extracellular	C16H23N5O15P2
MAM01288c	ADP-ribose	Cytosol	C15H21N5O14P2
MAM01288e	ADP-ribose	Extracellular	C15H21N5O14P2
MAM01289c	ADP-ribose-2-phosphate	Cytosol	C15H20N5O17P3
MAM01289e	ADP-ribose-2-phosphate	Extracellular	C15H20N5O17P3
MAM01290c	adrenaline	Cytosol	C9H14NO3
MAM01290e	adrenaline	Extracellular	C9H14NO3
MAM01291c	adrenic acid	Cytosol	C22H35O2
MAM01291l	adrenic acid	Lysosome	C22H35O2
MAM01291r	adrenic acid	Endoplasmic reticulum	C22H35O2
MAM01291e	adrenic acid	Extracellular	C22H35O2
MAM01292c	adrenochrome	Cytosol	C9H9NO3
MAM01293c	adrenochrome-O-semiquinone	Cytosol	C9H9NO3
MAM01294c	aflatoxin B1 dialdehyde	Cytosol	C17H13O8
MAM01295c	aflatoxin B1 diol	Cytosol	C17H14O8
MAM01296c	aflatoxin B1	Cytosol	C17H12O6
MAM01296e	aflatoxin B1	Extracellular	C17H12O6
MAM01297c	aflatoxin B1-endo-8,9-epoxide	Cytosol	C17H12O7
MAM01298c	aflatoxin B1-exo-8,9-epoxide	Cytosol	C17H12O7
MAM01298e	aflatoxin B1-exo-8,9-epoxide	Extracellular	C17H12O7
MAM01299c	aflatoxin B1-exo-8,9-epoxide-GSH	Cytosol	C27H29N3O13S
MAM01300c	aflatoxin M1	Cytosol	C17H12O7
MAM01301c	aflatoxin M1-8,9-epoxide	Cytosol	C17H12O8
MAM01302c	aflatoxin Q1	Cytosol	C17H12O7
MAM01303c	agmatine	Cytosol	C5H16N4
MAM01303m	agmatine	Mitochondria	C5H16N4
MAM01303e	agmatine	Extracellular	C5H16N4
MAM01304c	AICAR	Cytosol	C9H13N4O8P
MAM01305c	AIR	Cytosol	C8H12N3O7P
MAM01306c	AKG	Cytosol	C5H4O5
MAM01306m	AKG	Mitochondria	C5H4O5
MAM01306x	AKG	Peroxisome	C5H4O5
MAM01306e	AKG	Extracellular	C5H4O5
MAM01307c	alanine	Cytosol	C3H7NO2
MAM01307l	alanine	Lysosome	C3H7NO2
MAM01307m	alanine	Mitochondria	C3H7NO2
MAM01307x	alanine	Peroxisome	C3H7NO2
MAM01307e	alanine	Extracellular	C3H7NO2
MAM01308c	albumin	Cytosol	C3076H4833N821O919S42
MAM01308l	albumin	Lysosome	C3076H4833N821O919S42
MAM01308e	albumin	Extracellular	C3076H4833N821O919S42
MAM01309c	aldosterone	Cytosol	C21H28O5
MAM01309m	aldosterone	Mitochondria	C21H28O5
MAM01309e	aldosterone	Extracellular	C21H28O5
MAM01310c	alkylamine	Cytosol	H3NR
MAM01311c	alkyl-glycerone-3-phosphate	Cytosol	C3H4O6PR
MAM01311x	alkyl-glycerone-3-phosphate	Peroxisome	C3H4O6PR
MAM01312c	allantoate	Cytosol	C4H7N4O4
MAM01313c	allantoin	Cytosol	C4H6N4O3
MAM01314c	allopregnanolone	Cytosol	C21H34O2
MAM01315c	alloxan	Cytosol	C4N2O4
MAM01315e	alloxan	Extracellular	C4N2O4
MAM01316c	all-trans-decaprenyl-diphosphate	Cytosol	C50H81O7P2
MAM01316m	all-trans-decaprenyl-diphosphate	Mitochondria	C50H81O7P2
MAM01317c	alpha tubulin	Cytosol	C13H15N3O5R2
MAM01318c	alpha-(1,2-dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde	Cytosol	C17H15O8
MAM01319c	alpha-[3-(nitrosoamino)propyl]-3-pyridinemethanol	Cytosol	C9H13N3O2
MAM01320c	alpha-[3-[(hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol	Cytosol	C10H15N3O3
MAM01321c	alpha-CEHC-glucuronide	Cytosol	C22H29O10
MAM01322c	alpha-D-galactose-1-phosphate	Cytosol	C6H11O9P
MAM01323c	alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	Cytosol	C128H210N2O27P2
MAM01324c	alpha-GalNAc-globoside	Cytosol	C52H92N3O27RCO
MAM01324g	alpha-GalNAc-globoside	Golgi apparatus	C52H92N3O27RCO
MAM01324l	alpha-GalNAc-globoside	Lysosome	C52H92N3O27RCO
MAM01325c	alpha-hydroxyisocaproic acid	Cytosol	C6H11O3
MAM01326c	alpha-pinene-oxide	Cytosol	C10H16O
MAM01326e	alpha-pinene-oxide	Extracellular	C10H16O
MAM01327c	alpha-tocopherol	Cytosol	C29H50O2
MAM01327r	alpha-tocopherol	Endoplasmic reticulum	C29H50O2
MAM01327e	alpha-tocopherol	Extracellular	C29H50O2
MAM01328c	alpha-tocopheryl hydroquinone	Cytosol	C29H52O3
MAM01329c	alpha-tocopheryl quinone	Cytosol	C29H50O3
MAM01330c	alpha-tocotrienol	Cytosol	C29H44O2
MAM01330r	alpha-tocotrienol	Endoplasmic reticulum	C29H44O2
MAM01330e	alpha-tocotrienol	Extracellular	C29H44O2
MAM01331c	alpha-tocotrienoxyl radical	Cytosol	C29H43O2
MAM01332c	aminoacetone	Cytosol	C3H8NO
MAM01332m	aminoacetone	Mitochondria	C3H8NO
MAM01333c	aminochrome-O-semiquinone	Cytosol	C8H8NO2
MAM01334c	AMP	Cytosol	C10H12N5O7P
MAM01334g	AMP	Golgi apparatus	C10H12N5O7P
MAM01334l	AMP	Lysosome	C10H12N5O7P
MAM01334m	AMP	Mitochondria	C10H12N5O7P
MAM01334n	AMP	Nucleus	C10H12N5O7P
MAM01334x	AMP	Peroxisome	C10H12N5O7P
MAM01334r	AMP	Endoplasmic reticulum	C10H12N5O7P
MAM01334e	AMP	Extracellular	C10H12N5O7P
MAM01335c	anandamide	Cytosol	C22H37NO2
MAM01336c	androstenediol	Cytosol	C19H30O2
MAM01336r	androstenediol	Endoplasmic reticulum	C19H30O2
MAM01337c	androsterone sulfate	Cytosol	C19H29O5S
MAM01338c	androsterone	Cytosol	C19H30O2
MAM01338r	androsterone	Endoplasmic reticulum	C19H30O2
MAM01338e	androsterone	Extracellular	C19H30O2
MAM01339c	androsterone-glucuronide	Cytosol	C25H38O8
MAM01339r	androsterone-glucuronide	Endoplasmic reticulum	C25H38O8
MAM01339e	androsterone-glucuronide	Extracellular	C25H38O8
MAM01340c	anhydroretinol	Cytosol	C20H28
MAM01341c	aniline	Cytosol	C6H7N
MAM01342c	anthranilate	Cytosol	C7H6NO2
MAM01343c	antichymotrypsin	Cytosol	C2144H3392N554O636S17
MAM01343l	antichymotrypsin	Lysosome	C2144H3392N554O636S17
MAM01343e	antichymotrypsin	Extracellular	C2144H3392N554O636S17
MAM01344c	antipyrine	Cytosol	C11H12N2O
MAM01344e	antipyrine	Extracellular	C11H12N2O
MAM01345c	antitrypsin	Cytosol	C2112H3313N539O629S13
MAM01345l	antitrypsin	Lysosome	C2112H3313N539O629S13
MAM01345e	antitrypsin	Extracellular	C2112H3313N539O629S13
MAM01346c	APE	Cytosol	C27H37NO8PR2
MAM01347c	apelin-(1-12)	Cytosol	C60H105N22O15S
MAM01348c	apelin-13	Cytosol	C69H114N23O16S
MAM01349c	apo-[ACP]	Cytosol	HOR
MAM01350c	apoA1	Cytosol	C1367H2173N381O419S4
MAM01350l	apoA1	Lysosome	C1367H2173N381O419S4
MAM01350r	apoA1	Endoplasmic reticulum	C1367H2173N381O419S4
MAM01350e	apoA1	Extracellular	C1367H2173N381O419S4
MAM01351c	apoB100	Cytosol	C23182H36564N6112O6944S104
MAM01351l	apoB100	Lysosome	C23182H36564N6112O6944S104
MAM01351r	apoB100	Endoplasmic reticulum	C23182H36564N6112O6944S104
MAM01352l	apoB48	Lysosome	C23203H36592N6110O6947S103
MAM01353c	apoC1	Cytosol	C421H695N109O124S2
MAM01353r	apoC1	Endoplasmic reticulum	C421H695N109O124S2
MAM01354c	apoC2	Cytosol	C509H801N123O159S3
MAM01354r	apoC2	Endoplasmic reticulum	C509H801N123O159S3
MAM01355c	apoC3	Cytosol	C484H760N128O149S3
MAM01355r	apoC3	Endoplasmic reticulum	C484H760N128O149S3
MAM01356c	apoC-lys	Cytosol	C6H13N2OX
MAM01356e	apoC-lys	Extracellular	C6H13N2OX
MAM01357c	apoC-lys_btn	Cytosol	C16H27N4O3SX
MAM01358c	apocytochrome-C	Cytosol	C1578H2483N443O445S20
MAM01358l	apocytochrome-C	Lysosome	C1578H2483N443O445S20
MAM01358m	apocytochrome-C	Mitochondria	C1578H2483N443O445S20
MAM01359c	apoE	Cytosol	C1569H2559N477O483S10
MAM01359l	apoE	Lysosome	C1569H2559N477O483S10
MAM01359r	apoE	Endoplasmic reticulum	C1569H2559N477O483S10
MAM01360c	apppA	Cytosol	C20H24N10O16P3
MAM01361c	aquacob(III)alamin	Cytosol	C62H90CoN13O15P
MAM01361e	aquacob(III)alamin	Extracellular	C62H90CoN13O15P
MAM01362c	arachidonate	Cytosol	C20H31O2
MAM01362l	arachidonate	Lysosome	C20H31O2
MAM01362n	arachidonate	Nucleus	C20H31O2
MAM01362x	arachidonate	Peroxisome	C20H31O2
MAM01362r	arachidonate	Endoplasmic reticulum	C20H31O2
MAM01362e	arachidonate	Extracellular	C20H31O2
MAM01363c	arachidonyl-carnitine	Cytosol	C27H45NO4
MAM01363m	arachidonyl-carnitine	Mitochondria	C27H45NO4
MAM01363r	arachidonyl-carnitine	Endoplasmic reticulum	C27H45NO4
MAM01364c	arachidonyl-CoA	Cytosol	C41H62N7O17P3S
MAM01364m	arachidonyl-CoA	Mitochondria	C41H62N7O17P3S
MAM01364x	arachidonyl-CoA	Peroxisome	C41H62N7O17P3S
MAM01364r	arachidonyl-CoA	Endoplasmic reticulum	C41H62N7O17P3S
MAM01365c	arginine	Cytosol	C6H15N4O2
MAM01365l	arginine	Lysosome	C6H15N4O2
MAM01365m	arginine	Mitochondria	C6H15N4O2
MAM01365e	arginine	Extracellular	C6H15N4O2
MAM01366c	argininosuccinate	Cytosol	C10H17N4O6
MAM01367c	arsenite	Cytosol	AsH2O3
MAM01368c	ascorbate	Cytosol	C6H7O6
MAM01368e	ascorbate	Extracellular	C6H7O6
MAM01369c	asparagine	Cytosol	C4H8N2O3
MAM01369l	asparagine	Lysosome	C4H8N2O3
MAM01369m	asparagine	Mitochondria	C4H8N2O3
MAM01369e	asparagine	Extracellular	C4H8N2O3
MAM01370c	aspartate	Cytosol	C4H6NO4
MAM01370l	aspartate	Lysosome	C4H6NO4
MAM01370m	aspartate	Mitochondria	C4H6NO4
MAM01370e	aspartate	Extracellular	C4H6NO4
MAM01371c	ATP	Cytosol	C10H12N5O13P3
MAM01371g	ATP	Golgi apparatus	C10H12N5O13P3
MAM01371l	ATP	Lysosome	C10H12N5O13P3
MAM01371m	ATP	Mitochondria	C10H12N5O13P3
MAM01371n	ATP	Nucleus	C10H12N5O13P3
MAM01371x	ATP	Peroxisome	C10H12N5O13P3
MAM01371r	ATP	Endoplasmic reticulum	C10H12N5O13P3
MAM01371e	ATP	Extracellular	C10H12N5O13P3
MAM01372c	azelaic acid	Cytosol	C9H14O4
MAM01373c	behenic acid	Cytosol	C22H43O2
MAM01373l	behenic acid	Lysosome	C22H43O2
MAM01373r	behenic acid	Endoplasmic reticulum	C22H43O2
MAM01373e	behenic acid	Extracellular	C22H43O2
MAM01374c	benzo[a]pyrene	Cytosol	C20H12
MAM01374e	benzo[a]pyrene	Extracellular	C20H12
MAM01375c	benzo[a]pyrene-4,5-oxide	Cytosol	C20H12O
MAM01376c	benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide	Cytosol	C20H14O3
MAM01377c	benzo[a]pyrene-7,8-diol	Cytosol	C20H14O2
MAM01378c	benzo[a]pyrene-7,8-oxide	Cytosol	C20H12O
MAM01379c	benzo[a]pyrene-9,10-oxide	Cytosol	C20H12O
MAM01380c	benzoate	Cytosol	C7H5O2
MAM01380r	benzoate	Endoplasmic reticulum	C7H5O2
MAM01381c	benzothiazine	Cytosol	C11H12N2O3S
MAM01382l	beta-1,4-mannose-N-acetylglucosamine	Lysosome	C14H25NO11
MAM01383c	beta-alanine	Cytosol	C3H7NO2
MAM01383m	beta-alanine	Mitochondria	C3H7NO2
MAM01383e	beta-alanine	Extracellular	C3H7NO2
MAM01384c	beta-carboline	Cytosol	C11H8N2
MAM01385c	beta-carotene	Cytosol	C40H56
MAM01385e	beta-carotene	Extracellular	C40H56
MAM01386c	beta-casomorphin (1-6)	Cytosol	C38H49N6O10
MAM01387c	beta-casomorphin	Cytosol	C44H60N7O11
MAM01388c	beta-D-glucose	Cytosol	C6H12O6
MAM01390c	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol	Cytosol	C122H200N2O22P2
MAM01391c	beta-GalNAc-globoside	Cytosol	C52H92N3O27RCO
MAM01391g	beta-GalNAc-globoside	Golgi apparatus	C52H92N3O27RCO
MAM01391l	beta-GalNAc-globoside	Lysosome	C52H92N3O27RCO
MAM01392c	beta-hydroxy-beta-methylbutyrate	Cytosol	C5H9O3
MAM01393c	betaine	Cytosol	C5H11NO2
MAM01393m	betaine	Mitochondria	C5H11NO2
MAM01393e	betaine	Extracellular	C5H11NO2
MAM01394c	betaine_aldehyde	Cytosol	C5H12NO
MAM01394m	betaine_aldehyde	Mitochondria	C5H12NO
MAM01395c	bile-PC pool	Cytosol	C10H18NO8PR2
MAM01395e	bile-PC pool	Extracellular	C10H18NO8PR2
MAM01396c	bilirubin	Cytosol	C33H34N4O6
MAM01396r	bilirubin	Endoplasmic reticulum	C33H34N4O6
MAM01396e	bilirubin	Extracellular	C33H34N4O6
MAM01397c	bilirubin-bisglucuronoside	Cytosol	C45H50N4O18
MAM01397r	bilirubin-bisglucuronoside	Endoplasmic reticulum	C45H50N4O18
MAM01397e	bilirubin-bisglucuronoside	Extracellular	C45H50N4O18
MAM01398c	bilirubin-monoglucuronoside	Cytosol	C39H42N4O12
MAM01398r	bilirubin-monoglucuronoside	Endoplasmic reticulum	C39H42N4O12
MAM01398e	bilirubin-monoglucuronoside	Extracellular	C39H42N4O12
MAM01399c	biliverdin	Cytosol	C33H32N4O6
MAM01400c	biocytin	Cytosol	C16H28N4O4S
MAM01400n	biocytin	Nucleus	C16H28N4O4S
MAM01400e	biocytin	Extracellular	C16H28N4O4S
MAM01401c	biotin	Cytosol	C10H15N2O3S
MAM01401n	biotin	Nucleus	C10H15N2O3S
MAM01401e	biotin	Extracellular	C10H15N2O3S
MAM01402c	biotinyl-5-AMP	Cytosol	C20H27N7O9PS
MAM01403c	bromobenzene	Cytosol	C6H5Br
MAM01403e	bromobenzene	Extracellular	C6H5Br
MAM01404c	bromobenzene-2,3-dihydrodiol	Cytosol	C6H7BrO2
MAM01405c	bromobenzene-2,3-oxide	Cytosol	C6H5BrO
MAM01406c	bromobenzene-3,4-dihydrodiol	Cytosol	C6H7BrO2
MAM01407c	bromobenzene-3,4-oxide	Cytosol	C6H5BrO
MAM01408c	bufotenine	Cytosol	C12H16N2O
MAM01409c	but-2-enoyl-[ACP]	Cytosol	C15H25N2O8PRS
MAM01410c	butyrate	Cytosol	C4H7O2
MAM01410e	butyrate	Extracellular	C4H7O2
MAM01411c	butyryl-[ACP]	Cytosol	C15H27N2O8PRS
MAM01412c	butyryl-CoA	Cytosol	C25H38N7O17P3S
MAM01412m	butyryl-CoA	Mitochondria	C25H38N7O17P3S
MAM01412x	butyryl-CoA	Peroxisome	C25H38N7O17P3S
MAM01413c	Ca2+	Cytosol	Ca
MAM01413e	Ca2+	Extracellular	Ca
MAM01414c	caffeate	Cytosol	C9H7O4
MAM01415c	calcidiol	Cytosol	C27H44O2
MAM01415m	calcidiol	Mitochondria	C27H44O2
MAM01415e	calcidiol	Extracellular	C27H44O2
MAM01416c	calcitetrol	Cytosol	C27H44O4
MAM01416m	calcitetrol	Mitochondria	C27H44O4
MAM01417c	calcitriol	Cytosol	C27H44O3
MAM01417m	calcitriol	Mitochondria	C27H44O3
MAM01418c	calcitroic acid	Cytosol	C23H33O4
MAM01418m	calcitroic acid	Mitochondria	C23H33O4
MAM01418e	calcitroic acid	Extracellular	C23H33O4
MAM01419c	cAMP	Cytosol	C10H11N5O6P
MAM01419g	cAMP	Golgi apparatus	C10H11N5O6P
MAM01419e	cAMP	Extracellular	C10H11N5O6P
MAM01420c	carbamoyl-phosphate	Cytosol	CH2NO5P
MAM01420m	carbamoyl-phosphate	Mitochondria	CH2NO5P
MAM01420r	carbamoyl-phosphate	Endoplasmic reticulum	CH2NO5P
MAM01422c	carboxybiotin-carboxyl-carrier	Cytosol	C17H26N4O5SX
MAM01422m	carboxybiotin-carboxyl-carrier	Mitochondria	C17H26N4O5SX
MAM01423c	carnosine	Cytosol	C9H14N4O3
MAM01424c	CDP	Cytosol	C9H12N3O11P2
MAM01424m	CDP	Mitochondria	C9H12N3O11P2
MAM01424n	CDP	Nucleus	C9H12N3O11P2
MAM01424e	CDP	Extracellular	C9H12N3O11P2
MAM01425c	CDP-choline	Cytosol	C14H25N4O11P2
MAM01425r	CDP-choline	Endoplasmic reticulum	C14H25N4O11P2
MAM01426m	CDP-diacylglycerol-CL pool	Mitochondria	C14H17N3O15P2R2
MAM01427c	CDP-diacylglycerol-LD-PI pool	Cytosol	C14H17N3O15P2R2
MAM01427l	CDP-diacylglycerol-LD-PI pool	Lysosome	C14H17N3O15P2R2
MAM01427r	CDP-diacylglycerol-LD-PI pool	Endoplasmic reticulum	C14H17N3O15P2R2
MAM01428c	CDP-ethanolamine	Cytosol	C11H19N4O11P2
MAM01428g	CDP-ethanolamine	Golgi apparatus	C11H19N4O11P2
MAM01429c	CDP-glycerol	Cytosol	C12H19N3O13P2
MAM01430c	ceramide pool	Cytosol	C18H36NO2RCO
MAM01430g	ceramide pool	Golgi apparatus	C18H36NO2RCO
MAM01430l	ceramide pool	Lysosome	C18H36NO2RCO
MAM01430r	ceramide pool	Endoplasmic reticulum	C18H36NO2RCO
MAM01431c	ceramide-1P pool	Cytosol	C18H35NO5PRCO
MAM01432c	cerotic acid	Cytosol	C26H51O2
MAM01432l	cerotic acid	Lysosome	C26H51O2
MAM01432r	cerotic acid	Endoplasmic reticulum	C26H51O2
MAM01432e	cerotic acid	Extracellular	C26H51O2
MAM01433c	cGMP	Cytosol	C10H11N5O7P
MAM01433g	cGMP	Golgi apparatus	C10H11N5O7P
MAM01433n	cGMP	Nucleus	C10H11N5O7P
MAM01433e	cGMP	Extracellular	C10H11N5O7P
MAM01434c	chenodeoxycholoyl-CoA	Cytosol	C45H70N7O19P3S
MAM01434x	chenodeoxycholoyl-CoA	Peroxisome	C45H70N7O19P3S
MAM01434r	chenodeoxycholoyl-CoA	Endoplasmic reticulum	C45H70N7O19P3S
MAM01435c	chenodiol	Cytosol	C24H39O4
MAM01435x	chenodiol	Peroxisome	C24H39O4
MAM01435r	chenodiol	Endoplasmic reticulum	C24H39O4
MAM01435e	chenodiol	Extracellular	C24H39O4
MAM01436c	chitin(n-1)	Cytosol	C16H28N2O11
MAM01437c	chitin	Cytosol	C24H41N3O16
MAM01438c	chitin-component	Cytosol	C8H13NO5
MAM01438e	chitin-component	Extracellular	C8H13NO5
MAM01439l	chitobiose	Lysosome	C16H28N2O11
MAM01439e	chitobiose	Extracellular	C16H28N2O11
MAM01440c	chloral hydrate	Cytosol	C2H3Cl3O2
MAM01441c	chloral	Cytosol	C2HCl3O
MAM01442c	chloride	Cytosol	Cl
MAM01442e	chloride	Extracellular	Cl
MAM01443c	chloroacetic acid	Cytosol	C2H2ClO2
MAM01444c	chloroacetyl chloride	Cytosol	C2H2Cl2O
MAM01445c	cholate	Cytosol	C24H39O5
MAM01445x	cholate	Peroxisome	C24H39O5
MAM01445r	cholate	Endoplasmic reticulum	C24H39O5
MAM01445e	cholate	Extracellular	C24H39O5
MAM01446c	cholest-5-ene-3beta,7alpha,24(S)-triol	Cytosol	C27H46O3
MAM01447r	cholest-5-ene-3beta,7alpha,25-triol	Endoplasmic reticulum	C27H46O3
MAM01448c	cholest-5-ene-3beta,7alpha,27-triol	Cytosol	C27H46O3
MAM01448m	cholest-5-ene-3beta,7alpha,27-triol	Mitochondria	C27H46O3
MAM01449c	cholestenol	Cytosol	C27H46O
MAM01450c	cholesterol	Cytosol	C27H46O
MAM01450g	cholesterol	Golgi apparatus	C27H46O
MAM01450l	cholesterol	Lysosome	C27H46O
MAM01450m	cholesterol	Mitochondria	C27H46O
MAM01450r	cholesterol	Endoplasmic reticulum	C27H46O
MAM01450e	cholesterol	Extracellular	C27H46O
MAM01451c	cholesterol-ester pool	Cytosol	C28H45O2R
MAM01451l	cholesterol-ester pool	Lysosome	C28H45O2R
MAM01451r	cholesterol-ester pool	Endoplasmic reticulum	C28H45O2R
MAM01451e	cholesterol-ester pool	Extracellular	C28H45O2R
MAM01452l	cholesterol-ester-10,13,16,19-docosa	Lysosome	C49H80O2
MAM01452r	cholesterol-ester-10,13,16,19-docosa	Endoplasmic reticulum	C49H80O2
MAM01453l	cholesterol-ester-10,13,16-docosa	Lysosome	C49H82O2
MAM01453r	cholesterol-ester-10,13,16-docosa	Endoplasmic reticulum	C49H82O2
MAM01454l	cholesterol-ester-10-hepta	Lysosome	C44H76O2
MAM01454r	cholesterol-ester-10-hepta	Endoplasmic reticulum	C44H76O2
MAM01455l	cholesterol-ester-11,14,17-eico	Lysosome	C47H78O2
MAM01455r	cholesterol-ester-11,14,17-eico	Endoplasmic reticulum	C47H78O2
MAM01456l	cholesterol-ester-11,14-eicosa	Lysosome	C47H80O2
MAM01456r	cholesterol-ester-11,14-eicosa	Endoplasmic reticulum	C47H80O2
MAM01457l	cholesterol-ester-11-docose	Lysosome	C49H86O2
MAM01457r	cholesterol-ester-11-docose	Endoplasmic reticulum	C49H86O2
MAM01458l	cholesterol-ester-11-eico	Lysosome	C47H82O2
MAM01458r	cholesterol-ester-11-eico	Endoplasmic reticulum	C47H82O2
MAM01459l	cholesterol-ester-12,15,18,21-tetracosa	Lysosome	C51H84O2
MAM01459r	cholesterol-ester-12,15,18,21-tetracosa	Endoplasmic reticulum	C51H84O2
MAM01460l	cholesterol-ester-13,16,19-doco	Lysosome	C49H82O2
MAM01460r	cholesterol-ester-13,16,19-doco	Endoplasmic reticulum	C49H82O2
MAM01461l	cholesterol-ester-13,16-docosa	Lysosome	C49H84O2
MAM01461r	cholesterol-ester-13,16-docosa	Endoplasmic reticulum	C49H84O2
MAM01462l	cholesterol-ester-13-docose	Lysosome	C49H86O2
MAM01462r	cholesterol-ester-13-docose	Endoplasmic reticulum	C49H86O2
MAM01463l	cholesterol-ester-13-eicose	Lysosome	C47H82O2
MAM01463r	cholesterol-ester-13-eicose	Endoplasmic reticulum	C47H82O2
MAM01464l	cholesterol-ester-13-octade	Lysosome	C45H78O2
MAM01464r	cholesterol-ester-13-octade	Endoplasmic reticulum	C45H78O2
MAM01465l	cholesterol-ester-15-tetra	Lysosome	C51H90O2
MAM01465r	cholesterol-ester-15-tetra	Endoplasmic reticulum	C51H90O2
MAM01466l	cholesterol-ester-4,7,10,13,16,19-doco	Lysosome	C49H76O2
MAM01466r	cholesterol-ester-4,7,10,13,16,19-doco	Endoplasmic reticulum	C49H76O2
MAM01467l	cholesterol-ester-4,7,10,13,16-docosa	Lysosome	C49H78O2
MAM01467r	cholesterol-ester-4,7,10,13,16-docosa	Endoplasmic reticulum	C49H78O2
MAM01468l	cholesterol-ester-5,8,11,14,17-eico	Lysosome	C47H74O2
MAM01468r	cholesterol-ester-5,8,11,14,17-eico	Endoplasmic reticulum	C47H74O2
MAM01469l	cholesterol-ester-5,8,11-eico	Lysosome	C47H78O2
MAM01469r	cholesterol-ester-5,8,11-eico	Endoplasmic reticulum	C47H78O2
MAM01470l	cholesterol-ester-5-tetra	Lysosome	C41H70O2
MAM01470r	cholesterol-ester-5-tetra	Endoplasmic reticulum	C41H70O2
MAM01471l	cholesterol-ester-6,9,12,15,18,21-tetra	Lysosome	C51H80O2
MAM01471r	cholesterol-ester-6,9,12,15,18,21-tetra	Endoplasmic reticulum	C51H80O2
MAM01472l	cholesterol-ester-6,9,12,15,18-tetraco	Lysosome	C51H82O2
MAM01472r	cholesterol-ester-6,9,12,15,18-tetraco	Endoplasmic reticulum	C51H82O2
MAM01473l	cholesterol-ester-6,9,12,15-octa	Lysosome	C45H72O2
MAM01473r	cholesterol-ester-6,9,12,15-octa	Endoplasmic reticulum	C45H72O2
MAM01474l	cholesterol-ester-6,9-octa	Lysosome	C45H76O2
MAM01474r	cholesterol-ester-6,9-octa	Endoplasmic reticulum	C45H76O2
MAM01475l	cholesterol-ester-7,10,13,16,19-docosa	Lysosome	C49H78O2
MAM01475r	cholesterol-ester-7,10,13,16,19-docosa	Endoplasmic reticulum	C49H78O2
MAM01476l	cholesterol-ester-7,10,13,16-docosa	Lysosome	C49H80O2
MAM01476r	cholesterol-ester-7,10,13,16-docosa	Endoplasmic reticulum	C49H80O2
MAM01477l	cholesterol-ester-7-hexa	Lysosome	C43H74O2
MAM01477r	cholesterol-ester-7-hexa	Endoplasmic reticulum	C43H74O2
MAM01478l	cholesterol-ester-7-octade	Lysosome	C45H78O2
MAM01478r	cholesterol-ester-7-octade	Endoplasmic reticulum	C45H78O2
