rxns	rxnNames	formulas	grRules	subSystems
MAR00337		ATP[c] + CoA[c] + nervonic acid[c] => (15Z)-tetracosenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00341		ATP[c] + cerotic acid[c] + CoA[c] => AMP[c] + hexacosanoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00345		ATP[c] + CoA[c] + ximenic acid[c] => AMP[c] + hexacosenoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00349		ATP[c] + CoA[c] + linolenate[c] => AMP[c] + linolenoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00353		ATP[c] + CoA[c] + stearidonic acid[c] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00357		ATP[c] + CoA[c] + omega-3-arachidonic acid[c] => (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00361		ATP[c] + CoA[c] + EPA[c] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00365		ATP[c] + CoA[c] + DPA[c] => (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00369		(9Z,12Z,15Z,18Z,21Z)-TPA[c] + ATP[c] + CoA[c] => (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00373		(6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + ATP[c] + CoA[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00377		ATP[c] + CoA[c] + DHA[c] => (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00381		(11Z,14Z,17Z)-eicosatrienoic acid[c] + ATP[c] + CoA[c] => (11Z,14Z,17Z)-eicosatrienoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00385		13,16,19-docosatrienoic acid[c] + ATP[c] + CoA[c] => 13,16,19-docosatrienoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00389		10,13,16,19-docosatetraenoic acid[c] + ATP[c] + CoA[c] => 10,13,16,19-docosatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00393		12,15,18,21-tetracosatetraenoic acid[c] + ATP[c] + CoA[c] => 12,15,18,21-tetracosatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00397		ATP[c] + CoA[c] + linoleate[c] => AMP[c] + linoleoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00401		ATP[c] + CoA[c] + gamma-linolenate[c] => AMP[c] + gamma-linolenoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00405		ATP[c] + CoA[c] + dihomo-gamma-linolenate[c] => AMP[c] + dihomo-gamma-linolenoyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00409	Arachidonate:CoA ligase (AMP-forming)	arachidonate[c] + ATP[c] + CoA[c] => AMP[c] + arachidonyl-CoA[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00413		adrenic acid[c] + ATP[c] + CoA[c] => (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00417		(9Z,12Z,15Z,18Z)-TTA[c] + ATP[c] + CoA[c] => (9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00421		(6Z,9Z,12Z,15Z,18Z)-TPA[c] + ATP[c] + CoA[c] => (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00425		(4Z,7Z,10Z,13Z,16Z)-DPA[c] + ATP[c] + CoA[c] => (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00429		(11Z,14Z)-eicosadienoic acid[c] + ATP[c] + CoA[c] => (11Z,14Z)-eicosadienoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00433		(13Z,16Z)-docosadienoic acid[c] + ATP[c] + CoA[c] => (13Z,16Z)-docosadienoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR00437		10,13,16-docosatriynoic acid[c] + ATP[c] + CoA[c] => 10,13,16-docosatrienoyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (cytosolic)
MAR02942		ATP[r] + CoA[r] + lauric acid[r] => AMP[r] + lauroyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02943		ATP[r] + CoA[r] + tridecylic acid[r] => AMP[r] + PPi[r] + tridecanoyl-CoA[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02944		ATP[r] + CoA[r] + myristic acid[r] => AMP[r] + myristoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02945		ATP[r] + CoA[r] + physeteric acid[r] => 5-tetradecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02946		(9E)-tetradecenoic acid[r] + ATP[r] + CoA[r] => (9E)-tetradecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02947		(7Z)-tetradecenoic acid[r] + ATP[r] + CoA[r] => (7Z)-tetradecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02948		ATP[r] + CoA[r] + pentadecylic acid[r] => AMP[r] + pentadecanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02949	Palmitate:CoA ligase (AMP-forming)	ATP[r] + CoA[r] + palmitate[r] => AMP[r] + palmitoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02951		7-palmitoleic acid[r] + ATP[r] + CoA[r] => 7-hexadecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02952		ATP[r] + CoA[r] + palmitolate[r] => AMP[r] + palmitoleoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02954		ATP[r] + CoA[r] + margaric acid[r] => AMP[r] + heptadecanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02955		(10Z)-heptadecenoic acid[r] + ATP[r] + CoA[r] => (10Z)-heptadecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02956		9-heptadecylenic acid[r] + ATP[r] + CoA[r] => 9-heptadecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02957		ATP[r] + CoA[r] + stearate[r] => AMP[r] + PPi[r] + stearoyl-CoA[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000119673 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000177465 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02959		ATP[r] + CoA[r] + oleate[r] => AMP[r] + oleoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02961		ATP[r] + CoA[r] + elaidate[r] => (9E)-octadecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02962		(13Z)-octadecenoic acid[r] + ATP[r] + CoA[r] => (13Z)-octadecenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02963		ATP[r] + cis-vaccenic acid[r] + CoA[r] => AMP[r] + cis-vaccenoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02964		(6Z,9Z)-octadecadienoic acid[r] + ATP[r] + CoA[r] => (6Z,9Z)-octadecadienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02965		ATP[r] + CoA[r] + nonadecylic acid[r] => AMP[r] + nonadecanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02966		ATP[r] + CoA[r] + eicosanoate[r] => AMP[r] + eicosanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02967		ATP[r] + cis-gondoic acid[r] + CoA[r] => (11Z)-eicosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02968		(13Z)-eicosenoic acid[r] + ATP[r] + CoA[r] => (13Z)-eicosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02969		9-eicosenoic acid[r] + ATP[r] + CoA[r] => 9-eicosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02970		8,11-eicosadienoic acid[r] + ATP[r] + CoA[r] => (8Z,11Z)-eicosadienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02971		ATP[r] + CoA[r] + mead acid[r] => (5Z,8Z,11Z)-eicosatrienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02972		ATP[r] + CoA[r] + heneicosanoic acid[r] => AMP[r] + heneicosanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02973		ATP[r] + behenic acid[r] + CoA[r] => AMP[r] + docosanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02974		ATP[r] + cis-erucic acid[r] + CoA[r] => (13Z)-docosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02975		ATP[r] + cis-cetoleic acid[r] + CoA[r] => (11Z)-docosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02976		ATP[r] + CoA[r] + tricosanoic acid[r] => AMP[r] + PPi[r] + tricosanoyl-CoA[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02977		ATP[r] + CoA[r] + lignocerate[r] => AMP[r] + PPi[r] + tetracosanoyl-CoA[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02978		ATP[r] + CoA[r] + nervonic acid[r] => (15Z)-tetracosenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02979		ATP[r] + cerotic acid[r] + CoA[r] => AMP[r] + hexacosanoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02980		ATP[r] + CoA[r] + ximenic acid[r] => AMP[r] + hexacosenoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02981		ATP[r] + CoA[r] + linolenate[r] => AMP[r] + linolenoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02982		ATP[r] + CoA[r] + stearidonic acid[r] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02983		ATP[r] + CoA[r] + omega-3-arachidonic acid[r] => (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02984		ATP[r] + CoA[r] + EPA[r] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02985		ATP[r] + CoA[r] + DPA[r] => (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02986		(9Z,12Z,15Z,18Z,21Z)-TPA[r] + ATP[r] + CoA[r] => (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02987		(6Z,9Z,12Z,15Z,18Z,21Z)-THA[r] + ATP[r] + CoA[r] => (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02988		ATP[r] + CoA[r] + DHA[r] => (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02989		(11Z,14Z,17Z)-eicosatrienoic acid[r] + ATP[r] + CoA[r] => (11Z,14Z,17Z)-eicosatrienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02990		13,16,19-docosatrienoic acid[r] + ATP[r] + CoA[r] => 13,16,19-docosatrienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02991		ATP[r] + CoA[r] + linoleate[r] => AMP[r] + linoleoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02992		ATP[r] + CoA[r] + gamma-linolenate[r] => AMP[r] + gamma-linolenoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02994		ATP[r] + CoA[r] + dihomo-gamma-linolenate[r] => AMP[r] + dihomo-gamma-linolenoyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02996	Arachidonate:CoA ligase (AMP-forming)	arachidonate[r] + ATP[r] + CoA[r] => AMP[r] + arachidonyl-CoA[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02998		adrenic acid[r] + ATP[r] + CoA[r] => (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR02999		(9Z,12Z,15Z,18Z)-TTA[r] + ATP[r] + CoA[r] => (9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR03000		(6Z,9Z,12Z,15Z,18Z)-TPA[r] + ATP[r] + CoA[r] => (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR03001		(4Z,7Z,10Z,13Z,16Z)-DPA[r] + ATP[r] + CoA[r] => (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
MAR03002		(11Z,14Z)-eicosadienoic acid[r] + ATP[r] + CoA[r] => (11Z,14Z)-eicosadienoyl-CoA[r] + AMP[r] + PPi[r]	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142	Fatty acid activation (endoplasmic reticular)
